Compound,m.z,method,high.confidence.annotation,compound.name,hmdb,kegg,inchikey,fingerprints
HILn_QI128__uridine,243.0623,HILIC-neg,True,Uridine,HMDB0000296,C00299,DRTQHJPVMGBUCF-XVFCMESISA-N,11000000011100110011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000010100111000011000000000000110000000010000000000000011110000000000011000000000100010000000000000100001010101100101000000000000100000000000000000000000000000000000001000000000000010000000000000000000000010000000000001000000100000110001000000000010000000001000000000000000000011100100000000000000000011110001011100100010000100110000000011000000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI144__C48:1 TAG,827.7099,C8-pos,False,TG(16:0/16:0/16:1(9Z)),HMDB0005359,C00422,,
HILp_TF33__guanidoacetic acid,118.0616,HILIC-pos,True,Guanidoacetic acid,HMDB0000128,C00581,BPMFZUMJYQTVII-UHFFFAOYSA-N,10000000010000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000000000000000110000011000000000000100000000010000100000000010010000000000001000000000001010000000000000000000100100000010110000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF29__C18:2 LPC,520.3407,HILIC-pos,False,"LysoPC(18:2(9Z,12Z))",HMDB0010386,C04230,,
C8p_QI12__C16:1 LPE,452.277,C8-pos,False,LysoPE(16:1(9Z)/0:0),HMDB0011504,,,
C18n_QI46__oleanate,455.3534,C18-neg,True,Oleanolic acid,HMDB0002364,C17148,MIJYXULNPSFWEK-GTOFXWBISA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000110000011000001100000100000000000000000000000000000000000000000110000000000000000000000000000000001101000000000000000000000100000000000000000000000111100010100101000001000000000000010000000100000100000000000000000000000001000000000100010000000001000100000110100100000100000000000000000000000000000000000001000000000000000000000000000000000100000000001000000000000000000001000000000000001000000010010000000000000000100000000000000000100000000000000000001001000000000000000000010000000000000000011100010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000000000000000000000000000000000000000000000
HILp_TF54__leucine,132.1024,HILIC-pos,False,L-Leucine,HMDB0000687,C00123,ROHFNLRQFUQHCH-YFKPBYRVSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000110100101000110000011000000000000100000000100000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000000100010000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI177__NH4_C52:3 TAG,874.7853,C8-pos,True,,,,,
C8p_QI24__C34:2 PC,758.5683,C8-pos,False,"PC(16:0/18:2(9Z,12Z))",HMDB0007973,C00157,,
HILn_TF14__pentose monophosphate,229.0119,HILIC-neg,False,Fructose 6-phosphate,HMDB0000124,C00085,BGWGXPAPYGQALX-VRPWFDPXSA-N,11000000011000000011110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000100000000000000000100000010100101000001000000000000010000000000000100000000000000000000000011100010000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010001000000000010000000000000000000000000000000100100000000000000000001010000000000000000000001110000000000000001110000000110000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI27__linoleate,279.2333,C18-neg,True,Linoleic acid,HMDB0000673,C01595,OYHQOLUKZRVURQ-HZJYTTRNSA-N,11110000011110000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000000000000000010010000000000000000100000000000000000100000000000000000001001000000000000000000010000000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI173__NH4_C52:5 TAG,870.7542,C8-pos,True,,,,,
C8p_QI66__C16:0 CE,647.5737,C8-pos,True,CE(16:0),HMDB0000885,C11251,BBJQPKLGPMQWBU-JADYGXMDSA-N,11110000011111000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000010000000000000000000000000000000000000000000000001100000100000000000000000000000000000000001101000000000000000000000000000000000000000000000111100010100101000001000000000000010000000100000100000000000000000000000010000000000100010000000001000100000110100100000100000000000000000000000000000000000001000000000000000000000000000000000100000000001000000000000000000001000000000000000000000010010000000000000000100000000000000100000000000000000000001001100000000000000000010000000000000000011100010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000100000000000000000000100000000000000000000100000000000000000000100000000000000000000
C8p_QI170__C52:6 TAG,873.694,C8-pos,False,"TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0005436,C00422,,
HILp_QI473__cytosine,112.0512,HILIC-pos,True,Cytosine,HMDB0000630,C00380,OPTASPLRGRRNAP-UHFFFAOYSA-N,10000000011000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000100000000000110000010000000000000100000000010000000000000010110000000000000000000000101010000000000000110000011000110101010000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI214__beta-sitosterol,397.383,C8-pos,True,,,,,
HILp_TF38__aspartate,134.0452,HILIC-pos,False,L-Aspartic acid,HMDB0000191,C00049,CKLJMWTZIZZHCS-REOHCLBHSA-N,10000000011000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000011000000000000000000000000000000000000100000000000000000001100001000000000000000000000000000000000000010000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI66__guanosine,282.0847,HILIC-neg,True,Guanosine,HMDB0000133,C00387,NYHBQMYGNKIUIF-UUOKFMHZSA-N,11000000011100111011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100010010000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000011000000000000000000000000001111000000000000100000000100000000000000000000000100000011100111000011001011000000110000001011011000000010111110011000001011000000000101010000000000100000111011100010111010000000000100000001000000000101101000101110001000010100000000000010101000000000001101010000101010001000000100000110101100000001010010000001100100000100000000111100100000010000000000011110000000000000010110100110000000001100000111100000011000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI194__NH4_C54:3 TAG,902.8168,C8-pos,True,,,,,
C8p_QI32__C38:6 PC,806.5683,C8-pos,False,"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0007991,C00157,,
